id,page,language,title,description,keywords,updatedAt
30016,serviceCenters,zh-CN,授权维修中心 | Apolnus 专业售后服务据点,查询全台 Apolnus 授权维修中心，提供专业维修、保养、咨询服务。快速定位您附近的服 务据点，享受完善的售后保障。,"维修中心,售后服务,保养,维修,Apolnus",2025-11-24 21:57:42
30017,serviceCenters,en,Authorized Service Center | Apolnus Professional After-sales Service Location,"Find Apolnus Authorized Service Centers across Taiwan, offering professional repair, maintenance, and consultation services. Quickly locate service points near you and enjoy comprehensive after-sales support.","Service Center,After-sales Service,Maintenance,Repair,Apolnus",2025-11-24 21:57:41
30018,serviceCenters,ja,認定修理センター | Apolnus プロフェッショナルアフターサービス拠点,台湾全土のApolnus認定サービスセンターを検索し、専門的な修理、保守、相談サービスを提供します。お近くのサービス拠点を素早く特定し、万全のアフターサービスをご利用ください。,"サービスセンター,アフターサービス,メンテナンス,修理,Apolnus",2025-11-24 21:57:43
30019,serviceCenters,ko,공인 서비스 센터 | Apolnus 전문 애프터 서비스 지점,"대만 전역의 Apolnus 공인 서비스 센터를 찾아보세요. 전문적인 수리, 유지보수, 상담 서비스를 제공합니다. 가까운 서비스 지점을 빠르게 찾아 완벽한 애프터 서비스를 누리세요.","서비스 센터,애프터 서비스,유지 보수,수리,Apolnus",2025-11-24 21:57:44
30020,serviceCenters,de,Autorisiertes Service-Center | Apolnus Professionelle Kundendienststelle,"Suchen Sie nach autorisierten Apolnus Servicezentren in ganz Taiwan, die professionelle Reparatur-, Wartungs- und Beratungsdienste anbieten. Finden Sie schnell Servicestellen in Ihrer Nähe und genießen Sie umfassenden Kundendienst.","Service-Center,Kundendienst,Wartung,Reparatur,Apolnus",2025-11-24 21:57:45
30021,serviceCenters,fr,Centre de réparation agréé | Point de service après-vente professionnel Apolnus,"Recherchez les centres de service agréés Apolnus à travers Taïwan, offrant des services professionnels de réparation, d'entretien et de consultation. Localisez rapidement les points de service près de chez vous et bénéficiez d'une garantie après-vente complète.","Centre de service,Service après-vente,Entretien,Réparation,Apolnus",2025-11-24 21:57:46
30022,about,zh-TW,關於我們 | 想像創新，驅動未來 | Apolnus®,Apolnus 波那斯致力於將瘋狂的想像轉化為改變世界的創新。我們不妥協於現狀，堅持以最高標準的科技工藝，重新定義人類的生活品質。,"Apolnus,波那斯,關於我們,品牌故事,創新科技,智慧家電,企業願景",2025-11-24 13:26:24
30023,about,zh-CN,关于我们 | 想象创新，驱动未来 | Apolnus®,Apolnus 致力于将疯狂的想象转化为改变世界的创新。我们不妥协于现状，坚持以最高标准的科技工艺，重新定义人类的生活品质。,"Apolnus, 波那斯, 关于我们, 品牌故事, 创新科技, 智慧家电, 企业愿景",2025-11-24 21:58:07
30024,about,en,"About Us | Imagine Innovation, Drive the Future | Apolnus®","Apolnus is dedicated to transforming wild imagination into world-changing innovation. We do not compromise on the status quo, insisting on the highest standards of technological craftsmanship to redefine the quality of human life.","Apolnus, Bonas, About Us, Brand Story, Innovative Technology, Smart Appliances, Corporate Vision",2025-11-24 21:58:06
30025,about,ja,会社概要 | 想像力豊かな革新で、未来を駆動する | Apolnus®,Apolnus は、狂気的な想像を世界を変えるイノベーションへと変えることに尽力しています。私たちは現状に妥協せず、最高水準の技術工芸にこだわり、人類の生活の質を再定義します。,"Apolnus, ボナス, 会社概要, ブランドストーリー, 革新技術, スマート家電, 企業ビジョン",2025-11-24 21:58:08
30026,about,ko,"회사 소개 | 상상 혁신, 미래를 주도하다 | Apolnus®","Apolnus는 기발한 상상을 세상을 바꾸는 혁신으로 전환하는 데 전념하고 있습니다. 우리는 현상 유지에 타협하지 않으며, 최고 수준의 기술 장인 정신을 고수하여 인류의 삶의 질을 재정의합니다.","Apolnus, 보나스, 회사 소개, 브랜드 스토리, 혁신 기술, 스마트 가전, 기업 비전",2025-11-24 21:58:09
30027,about,de,"Über uns | Innovationen vorstellen, die Zukunft antreiben | Apolnus®","Apolnus widmet sich der Umwandlung kühner Vorstellungskraft in weltverändernde Innovationen. Wir gehen keine Kompromisse beim Status quo ein und bestehen auf den höchsten Standards technologischer Handwerkskunst, um die Lebensqualität der Menschheit neu zu definieren.","Apolnus, Bonas, Über uns, Markengeschichte, Innovative Technologie, Smarte Haushaltsgeräte, Unternehmensvision",2025-11-24 21:58:10
30028,about,fr,"À propos de nous | Imaginer l'innovation, propulser l'avenir | Apolnus®","Apolnus s'engage à transformer l'imagination la plus folle en innovation capable de changer le monde. Nous ne faisons aucun compromis avec le statu quo, insistant sur les normes les plus élevées de savoir-faire technologique pour redéfinir la qualité de vie humaine.","Apolnus, Bonas, À propos de nous, Histoire de la marque, Technologie innovante, Appareils électroménagers intelligents, Vision de l'entreprise",2025-11-24 21:58:11
30029,faq,zh-TW,常見問題 | 產品技術與使用指南 | Apolnus®,搜尋關於 Apolnus 全系列產品技術、保養維護、App 連線與帳號管理的詳細解答。我們隨時為您提供最專業的指引。,"Apolnus,常見問題,FAQ,產品疑問,技術支援,App連線,故障排除",2025-11-24 13:26:25
30030,faq,zh-CN,常见问题 | 产品技术与使用指南 | Apolnus®,搜索关于 Apolnus 全系列产品技术、保养维护、App 连接与账号管理的详细解答。我们随时为您提供最专业的指引。,"Apolnus, 常见问题, FAQ, 产品疑问, 技术支持, App连接, 故障排除",2025-11-24 13:26:26
30031,faq,en,FAQ | Product Technology & User Guide | Apolnus®,"Search for detailed answers regarding Apolnus full-range product technology, maintenance, App connectivity, and account management. We are always ready to provide you with the most professional guidance.","Apolnus, Frequently Asked Questions, FAQ, Product Questions, Technical Support, App Connectivity, Troubleshooting",2025-11-24 21:58:27
30032,faq,ja,よくある質問 | 製品技術と使用ガイド | Apolnus®,Apolnus全製品シリーズの技術、保守・メンテナンス、App接続、およびアカウント管理に関する詳細な回答を検索してください。私たちはいつでも最も専門的なガイダンスを提供いたします。,"Apolnus, よくある質問, FAQ, 製品に関するご質問, 技術サポート, アプリ接続, トラブルシューティング",2025-11-24 21:58:29
30033,faq,ko,자주 묻는 질문 | 제품 기술 및 사용 안내 | Apolnus®,"Apolnus 전 제품 기술, 유지 보수, 앱 연결 및 계정 관리에 대한 자세한 답변을 검색하세요. 저희는 언제든지 가장 전문적인 안내를 제공할 준비가 되어 있습니다.","Apolnus, 자주 묻는 질문, FAQ, 제품 문의, 기술 지원, 앱 연결, 문제 해결",2025-11-24 21:58:30
30034,faq,de,Häufig gestellte Fragen (FAQ) | Produkttechnologie und Benutzerhandbuch | Apolnus®,"Suchen Sie nach detaillierten Antworten zur Technologie der gesamten Apolnus Produktpalette, Wartung, App-Konnektivität und Kontoverwaltung. Wir sind jederzeit bereit, Ihnen die professionellste Anleitung zu geben.","Apolnus, Häufig gestellte Fragen, FAQ, Produktfragen, Technischer Support, App-Verbindung, Fehlerbehebung",2025-11-24 21:58:31
30035,faq,fr,Foire aux questions (FAQ) | Technologie du produit et guide d'utilisation | Apolnus®,"Recherchez des réponses détaillées concernant la technologie de la gamme complète de produits Apolnus, l'entretien, la connectivité de l'application et la gestion du compte. Nous sommes toujours prêts à vous fournir les conseils les plus professionnels.","Apolnus, Questions fréquentes, FAQ, Questions sur les produits, Support technique, Connexion à l'application, Dépannage",2025-11-24 21:58:32
30043,warrantyRegistration,zh-TW,產品保固登錄 | Apolnus 延長保固服務,線上登錄您的 Apolnus 產品保固資訊，延長保固期限，享受更完善的售後服務保障。簡單快速，保障您的權益。,"保固登錄,延長保固,產品註冊,售後服務,Apolnus",2025-11-24 13:26:28
30044,warrantyRegistration,zh-CN,产品保修登记 | Apolnus 延长保修服务,在线登录您的 Apolnus 产品保修信息，延长保修期限，享受更完善的售后服务保障。简单快速，保障您的权益。,"保修登记, 延长保修, 产品注册, 售后服务, Apolnus",2025-11-24 21:58:49
30045,warrantyRegistration,en,Product Warranty Registration | Apolnus Extended Warranty Service,"Register your Apolnus product warranty information online to extend the warranty period and enjoy more comprehensive after-sales service protection. Simple and fast, protecting your rights.","Warranty Registration, Extended Warranty, Product Registration, After-sales Service, Apolnus",2025-11-24 21:58:47
30046,warrantyRegistration,ja,製品保証登録 | Apolnus 延長保証サービス,Apolnus製品の保証情報をオンラインで登録し、保証期間を延長し、より充実したアフターサービス保証をお楽しみください。簡単かつ迅速に、お客様の権利を保護します。,"保証登録, 延長保証, 製品登録, アフターサービス, Apolnus",2025-11-24 21:58:50
30047,warrantyRegistration,ko,제품 보증 등록 | Apolnus 연장 보증 서비스,"온라인으로 Apolnus 제품 보증 정보를 등록하여 보증 기간을 연장하고, 더욱 완벽한 애프터 서비스 보호를 누리세요. 간단하고 신속하게 귀하의 권리를 보장합니다.","보증 등록, 보증 연장, 제품 등록, 애프터 서비스, Apolnus",2025-11-24 21:58:51
30048,warrantyRegistration,de,Produktgarantieregistrierung | Apolnus Garantieverlängerungsservice,"Registrieren Sie Ihre Apolnus Produktgarantieinformationen online, um die Garantiezeit zu verlängern und umfassenderen Kundendienstschutz zu genießen. Einfach und schnell, um Ihre Rechte zu sichern.","Garantieregistrierung, Garantieverlängerung, Produktregistrierung, Kundendienst, Apolnus",2025-11-24 21:58:52
30049,warrantyRegistration,fr,Enregistrement de la garantie du produit | Service de garantie prolongée Apolnus,"Enregistrez en ligne les informations de garantie de votre produit Apolnus pour prolonger la période de garantie et bénéficier d'une protection de service après-vente plus complète. Simple et rapide, cela protège vos droits.","Enregistrement de la garantie, Extension de garantie, Enregistrement du produit, Service après-vente, Apolnus",2025-11-24 21:58:53
30050,support,zh-TW,服務與支援 | 全方位客戶關懷中心 | Apolnus®,Apolnus 專屬支援中心。提供產品註冊、技術諮詢、線上報修與聯絡客服服務，致力於為您提供無微不至的頂級服務體驗。,"Apolnus,客戶服務,技術支援,聯絡我們,線上客服,產品支援,售後服務",2025-11-24 13:26:30
30051,support,zh-CN,服务与支持 | 全方位客户关怀中心 | Apolnus®,Apolnus 专属支持中心。提供产品注册、技术咨询、在线报修与联系客服服务，致力于为您提供无微不至的顶级服务体验。,"Apolnus,客户服务,技术支持,联系我们,在线客服,产品支持,售后服务",2025-11-24 21:59:10
30052,support,en,Service and Support | Comprehensive Customer Care Center | Apolnus®,"Apolnus Exclusive Support Center. We offer product registration, technical consultation, online repair requests, and customer service contact, dedicated to providing you with a meticulous, top-tier service experience.","Apolnus,Customer Service,Technical Support,Contact Us,Online Customer Service,Product Support,After-sales Service",2025-11-24 21:59:09
30053,support,ja,サービスとサポート | 総合的なお客様ケアセンター | Apolnus®,Apolnus 専用サポートセンター。製品登録、技術相談、オンライン修理受付、およびカスタマーサービスへの連絡を提供し、細部にわたる最高級のサービス体験をお届けすることに尽力しています。,"Apolnus,お客様サービス,技術サポート,お問い合わせ,オンラインチャット,製品サポート,アフターサービス",2025-11-24 21:59:11
30054,support,ko,서비스 및 지원 | 종합 고객 관리 센터 | Apolnus®,"Apolnus 전용 지원 센터. 제품 등록, 기술 상담, 온라인 수리 요청 및 고객 서비스 연락을 제공하며, 고객님께 세심한 최고 수준의 서비스 경험을 제공하기 위해 노력하고 있습니다.","Apolnus,고객 서비스,기술 지원,문의하기,온라인 상담,제품 지원,애프터 서비스",2025-11-24 21:59:12
30055,support,de,Service und Support | Umfassendes Kundendienstzentrum | Apolnus®,"Apolnus Exklusives Support-Center. Wir bieten Produktregistrierung, technische Beratung, Online-Reparaturanfragen und Kundendienstkontakt an, um Ihnen ein sorgfältiges, erstklassiges Serviceerlebnis zu bieten.","Apolnus,Kundendienst,Technischer Support,Kontakt,Online-Kundenservice,Produktsupport,Service nach dem Kauf",2025-11-24 21:59:13
30056,support,fr,Service et assistance | Centre d'assistance client complet | Apolnus®,"Centre d'assistance exclusif Apolnus. Nous proposons l'enregistrement de produits, la consultation technique, les demandes de réparation en ligne et le contact avec le service client, nous engageant à vous offrir une expérience de service méticuleuse et haut de gamme.","Apolnus,Service client,Support technique,Nous contacter,Service client en ligne,Support produit,Service après-vente",2025-11-24 21:59:14
30057,partnerProgram,zh-TW,合作夥伴計畫 | 加入 Apolnus 經銷體系,成為 Apolnus 授權經銷商或合作夥伴，共同推廣創新空氣清淨技術。提供完整的經銷支援、行銷資源與培訓計畫。,"合作夥伴,經銷商,加盟,代理,Apolnus",2025-11-24 13:26:32
30058,partnerProgram,zh-CN,合作伙伴计划 | 加入 Apolnus 经销体系,成为 Apolnus 授权经销商或合作伙伴，共同推广创新空气净化技术。提供完整的经销支持、营销资源与培训计划。,"合作伙伴, 经销商, 加盟, 代理, Apolnus",2025-11-24 21:59:31
30059,partnerProgram,en,Partner Program | Join the Apolnus Distribution Network,"Become an authorized dealer or partner of Apolnus to jointly promote innovative air purification technology. We provide comprehensive dealer support, marketing resources, and training programs.","Partner, Distributor, Franchise, Agency, Apolnus",2025-11-24 21:59:29
30060,partnerProgram,ja,パートナープログラム | Apolnus 販売網に参加する,Apolnus の認定ディーラーまたはパートナーとなり、革新的な空気清浄技術を共に推進しませんか。包括的なディーラーサポート、マーケティングリソース、およびトレーニングプログラムを提供します。,"パートナー, ディーラー, フランチャイズ, 代理店, Apolnus",2025-11-24 21:59:32
30061,partnerProgram,ko,파트너 프로그램 | Apolnus 유통 시스템 참여,"Apolnus의 공식 딜러 또는 파트너가 되어 혁신적인 공기 청정 기술을 공동으로 홍보하십시오. 포괄적인 딜러 지원, 마케팅 자료 및 교육 프로그램을 제공합니다.","파트너, 대리점, 가맹, 에이전시, Apolnus",2025-11-24 21:59:33
30062,partnerProgram,de,Partnerprogramm | Treten Sie dem Apolnus Vertriebsnetz bei,"Werden Sie ein autorisierter Händler oder Partner von Apolnus, um gemeinsam innovative Luftreinigungstechnologie zu fördern. Wir bieten umfassende Händlerunterstützung, Marketingressourcen und Schulungsprogramme.","Partner, Händler, Franchise, Vertretung, Apolnus",2025-11-24 21:59:34
30063,partnerProgram,fr,Programme Partenaire | Rejoignez le réseau de distribution Apolnus,"Devenez un revendeur agréé ou un partenaire d'Apolnus pour promouvoir conjointement la technologie innovante de purification de l'air. Nous offrons un soutien complet aux revendeurs, des ressources marketing et des programmes de formation.","Partenaire, Distributeur, Franchise, Agence, Apolnus",2025-11-24 21:59:35
30064,careers,zh-TW,招聘精英 | 加入我們，與世界對話 | Apolnus®,探索 Apolnus 的職涯機會。這不僅是一份工作，更是與頂尖人才共同挑戰極限、創造世界現象的舞台。尋找對科技與美學充滿熱情的你。,"Apolnus,人才招聘,職涯機會,加入我們,科技業工作,研發工程師,行銷人才",2025-11-24 13:26:33
30065,careers,zh-CN,招聘精英 | 加入我们，与世界对话 | Apolnus®,探索 Apolnus 的职业机会。这不仅仅是一份工作，更是与顶尖人才共同挑战极限、创造世界现象的舞台。寻找对科技与美学充满热情的你。,"Apolnus, 人才招聘, 职业机会, 加入我们, 科技行业工作, 研发工程师, 营销人才",2025-11-24 21:59:53
30066,careers,en,Hiring Top Talent | Join Us and Engage with the World | Apolnus®,Explore career opportunities at Apolnus. This is more than just a job; it's a stage for challenging limits and creating global phenomena alongside top talent. We are looking for you—someone passionate about technology and aesthetics.,"Apolnus, Talent Recruitment, Career Opportunities, Join Us, Tech Industry Jobs, R&D Engineer, Marketing Talent",2025-11-24 21:59:52
30067,careers,ja,エリート採用 | 私たちに参加し、世界と対話しましょう | Apolnus®,Apolnus のキャリア機会を探る。これは単なる仕事ではなく、最高の才能を持つ人々と共に限界に挑戦し、世界的な現象を生み出す舞台です。テクノロジーと美学に情熱を持つあなたを求めています。,"Apolnus, 人材募集, キャリア機会, 採用情報, テクノロジー業界の仕事, 研究開発エンジニア, マーケティング人材",2025-11-24 21:59:54
30068,careers,ko,최고 인재 채용 | 우리와 함께 세계와 소통하세요 | Apolnus®,"Apolnus의 경력 기회를 탐색하십시오. 이것은 단순한 직업이 아니라, 최고의 인재들과 함께 한계에 도전하고 세계적인 현상을 창조하는 무대입니다. 기술과 미학에 열정을 가진 당신을 찾습니다.","Apolnus, 인재 채용, 경력 기회, 저희와 함께하세요, 기술 산업 직무, R&D 엔지니어, 마케팅 인재",2025-11-24 21:59:55
30069,careers,de,Top-Talente gesucht | Treten Sie uns bei und sprechen Sie mit der Welt | Apolnus®,"Entdecken Sie Karrieremöglichkeiten bei Apolnus. Dies ist mehr als nur ein Job; es ist eine Bühne, um gemeinsam mit Spitzentalenten Grenzen zu überschreiten und globale Phänomene zu schaffen. Wir suchen Sie – jemanden mit Leidenschaft für Technologie und Ästhetik.","Apolnus, Personalbeschaffung, Karrierechancen, Werden Sie Teil von uns, Stellen in der Technologiebranche, F&E-Ingenieur, Marketingfachkräfte",2025-11-24 21:59:56
30070,careers,fr,Recrutement d'élites | Rejoignez-nous et dialoguez avec le monde | Apolnus®,Explorez les opportunités de carrière chez Apolnus. C'est plus qu'un simple emploi ; c'est une scène pour défier les limites et créer des phénomènes mondiaux aux côtés des meilleurs talents. Nous recherchons des personnes passionnées par la technologie et l'esthétique.,"Apolnus, Recrutement de talents, Opportunités de carrière, Rejoignez-nous, Emplois dans l'industrie technologique, Ingénieur R&D, Talents en marketing",2025-11-24 21:59:57
30071,privacy,zh-TW,隱私權政策 | Apolnus 個人資料保護聲明,Apolnus 重視您的隱私權，詳細說明我們如何收集、使用、保護您的個人資料，以及您的相關權利。,"隱私權政策,個人資料保護,資料安全,GDPR,Apolnus",2025-11-24 13:26:35
30072,privacy,zh-CN,隐私权政策 | Apolnus 个人资料保护声明,Apolnus 重视您的隐私权，详细说明我们如何收集、使用、保护您的个人资料，以及您的相关权利。,"隐私政策, 个人数据保护, 数据安全, GDPR, Apolnus",2025-11-24 22:00:10
30073,privacy,en,Privacy Policy | Apolnus Personal Data Protection Statement,"Apolnus values your privacy and details how we collect, use, and protect your personal data, as well as your related rights.","Privacy Policy, Personal Data Protection, Data Security, GDPR, Apolnus",2025-11-24 22:00:09
30074,privacy,ja,プライバシーポリシー | Apolnus 個人情報保護声明,Apolnus はお客様のプライバシーを重視し、個人データの収集、使用、保護の方法、およびお客様の関連する権利について詳しく説明します。,"プライバシーポリシー, 個人情報保護, データセキュリティ, GDPR, Apolnus",2025-11-24 22:00:11
30075,privacy,ko,개인정보 처리방침 | Apolnus 개인정보 보호 성명,"Apolnus는 귀하의 개인 정보 보호를 중요하게 생각하며, 당사가 귀하의 개인 데이터를 수집, 사용 및 보호하는 방법과 귀하의 관련 권리에 대해 자세히 설명합니다.","개인정보 보호정책, 개인정보 보호, 데이터 보안, GDPR, Apolnus",2025-11-24 22:00:14
30076,privacy,de,Datenschutzrichtlinie | Apolnus Erklärung zum Schutz personenbezogener Daten,"Apolnus legt Wert auf Ihre Privatsphäre und erläutert detailliert, wie wir Ihre personenbezogenen Daten erfassen, verwenden und schützen, sowie Ihre diesbezüglichen Rechte.","Datenschutzrichtlinie, Schutz personenbezogener Daten, Datensicherheit, GDPR, Apolnus",2025-11-24 22:00:15
30077,privacy,fr,Politique de confidentialité | Déclaration d'Apolnus sur la protection des données personnelles,"Apolnus accorde de l'importance à votre vie privée et détaille la manière dont nous collectons, utilisons et protégeons vos données personnelles, ainsi que vos droits y afférents.","Politique de confidentialité, Protection des données personnelles, Sécurité des données, GDPR, Apolnus",2025-11-24 22:00:16
30078,terms,zh-TW,使用條款 | Apolnus 服務條款與使用規範,Apolnus 網站與服務使用條款，詳細說明使用者權利義務、服務範圍、免責聲明等重要資訊。,"使用條款,服務條款,使用規範,法律聲明,Apolnus",2025-11-24 13:26:36
30079,terms,zh-CN,使用条款 | Apolnus 服务条款与使用规范,Apolnus 网站与服务使用条款，详细说明用户权利义务、服务范围、免责声明等重要信息。,"使用条款, 服务条款, 使用规范, 法律声明, Apolnus",2025-11-24 22:00:31
30080,terms,en,Terms of Use | Apolnus Terms of Service and Usage Guidelines,"Apolnus Website and Service Terms of Use, detailing important information such as user rights and obligations, scope of services, and disclaimers.","Terms of Use, Terms of Service, Usage Guidelines, Legal Notice, Apolnus",2025-11-24 22:00:30
30081,terms,ja,利用規約 | Apolnus サービス規約と利用規範,Apolnus ウェブサイトおよびサービス利用規約。ユーザーの権利と義務、サービス範囲、免責事項などの重要な情報が詳述されています。,"利用規約, サービス規約, 利用規定, 法的声明, Apolnus",2025-11-24 22:00:32
30082,terms,ko,이용 약관 | Apolnus 서비스 약관 및 사용 규정,"Apolnus 웹사이트 및 서비스 이용 약관은 사용자 권리 및 의무, 서비스 범위, 면책 조항 등 중요한 정보를 상세히 설명합니다.","이용 약관, 서비스 약관, 사용 지침, 법적 고지, Apolnus",2025-11-24 22:00:33
30083,terms,de,Nutzungsbedingungen | Apolnus Allgemeine Geschäftsbedingungen und Nutzungsrichtlinien,"Apolnus Website- und Dienstleistungsnutzungsbedingungen, in denen wichtige Informationen wie Benutzerrechte und -pflichten, Leistungsumfang und Haftungsausschlüsse detailliert beschrieben werden.","Nutzungsbedingungen, Dienstleistungsbedingungen, Nutzungsrichtlinien, Rechtliche Hinweise, Apolnus",2025-11-24 22:00:34
30084,terms,fr,Conditions d'utilisation | Apolnus Conditions de service et règles d'utilisation,"Conditions d'utilisation du site Web et des services Apolnus, détaillant des informations importantes telles que les droits et obligations de l'utilisateur, l'étendue des services et les clauses de non-responsabilité.","Conditions d'utilisation, Conditions générales de service, Règles d'utilisation, Mentions légales, Apolnus",2025-11-24 22:00:35
30085,notFound,zh-TW,找不到頁面 | Apolnus,抱歉，您訪問的頁面不存在。返回首頁或使用導覽列尋找您需要的內容。,"404,找不到頁面,Apolnus",2025-11-24 13:26:38
30086,notFound,zh-CN,找不到页面 | Apolnus,抱歉，您访问的页面不存在。返回首页或使用导航栏查找您需要的内容。,"404, 找不到页面, Apolnus",2025-11-24 22:00:49
30087,notFound,en,Page Not Found | Apolnus,"We apologize, the page you requested does not exist. Please return to the homepage or use the navigation bar to find the content you need.","404, Page Not Found, Apolnus",2025-11-24 22:00:48
30088,notFound,ja,ページが見つかりません | Apolnus,申し訳ございません。アクセスされたページは存在しません。トップページに戻るか、ナビゲーションバーを使用して必要なコンテンツをお探しください。,"404, ページが見つかりません, Apolnus",2025-11-24 22:00:50
30089,notFound,ko,페이지를 찾을 수 없습니다 | Apolnus,죄송합니다. 고객님이 방문하신 페이지는 존재하지 않습니다. 홈으로 돌아가거나 내비게이션 바를 사용하여 필요한 콘텐츠를 찾아보세요.,"404, 페이지를 찾을 수 없습니다, Apolnus",2025-11-24 22:00:51
